
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   16.9   150.2  |  0.042  0.959  (0.769) |  0.007  0.991  |  0.006  0.991  |  1 hr 26 min 
0.0100   17.0   151.1  |  0.051  0.951  (0.762) |  0.010  0.986  |  0.010  0.986  |  1 hr 27 min 
0.0100   17.1   152.0  |  0.054  0.958  (0.783) |  0.006  0.992  |  0.004  0.996  |  1 hr 27 min 

--- [START 2018-08-24_14-15-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
	initial_checkpoint = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2/checkpoint/00016500_model.pth
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000   16.5   146.7  |  0.054  0.957  (0.785) |  0.000  0.000  |  0.000  0.000  |  0 hr 00 min 
0.0100   16.6   147.6  |  0.044  0.956  (0.770) |  0.013  0.983  |  0.032  0.958  |  0 hr 00 min 
0.0100   16.7   148.4  |  0.040  0.961  (0.780) |  0.011  0.985  |  0.011  0.984  |  0 hr 01 min 
0.0100   16.8   149.3  |  0.035  0.961  (0.762) |  0.016  0.977  |  0.009  0.990  |  0 hr 01 min 
0.0100   16.9   150.2  |  0.033  0.950  (0.760) |  0.009  0.988  |  0.009  0.989  |  0 hr 02 min 
0.0100   17.0   151.1  |  0.042  0.958  (0.757) |  0.009  0.988  |  0.020  0.955  |  0 hr 02 min 
0.0100   17.1   152.0  |  0.037  0.958  (0.768) |  0.012  0.983  |  0.025  0.959  |  0 hr 02 min 
0.0100   17.2   152.9  |  0.037  0.958  (0.779) |  0.009  0.989  |  0.009  0.988  |  0 hr 03 min 
0.0100   17.3   153.8  |  0.034  0.962  (0.787) |  0.012  0.983  |  0.015  0.983  |  0 hr 03 min 
0.0100   17.4   154.7  |  0.036  0.956  (0.757) |  0.010  0.986  |  0.020  0.958  |  0 hr 04 min 
0.0100   17.5   155.6  |  0.036  0.958  (0.781) |  0.016  0.980  |  0.010  0.982  |  0 hr 04 min 
0.0100   17.6   156.4  |  0.045  0.954  (0.760) |  0.014  0.979  |  0.007  0.991  |  0 hr 05 min 
0.0100   17.7   157.3  |  0.044  0.958  (0.778) |  0.011  0.985  |  0.007  0.991  |  0 hr 05 min 
0.0100   17.8   158.2  |  0.040  0.948  (0.735) |  0.015  0.979  |  0.010  0.991  |  0 hr 06 min 
0.0100   17.9   159.1  |  0.043  0.952  (0.759) |  0.009  0.987  |  0.010  0.988  |  0 hr 06 min 
0.0100   18.0   160.0  |  0.038  0.959  (0.776) |  0.010  0.986  |  0.007  0.992  |  0 hr 07 min 
0.0100   18.1   160.9  |  0.041  0.956  (0.767) |  0.009  0.985  |  0.008  0.982  |  0 hr 07 min 
0.0100   18.2   161.8  |  0.039  0.960  (0.784) |  0.006  0.993  |  0.006  0.992  |  0 hr 08 min 
